Bildname,Maskengröße (weiße Pixel)
ADE_train_00003173.jpg,8457
ADE_train_00023741.jpg,19368
ADE_train_00022732.jpg,159556
ADE_train_00001504.jpg,2248
ADE_frame_00000204.jpg,12808
ADE_train_00003171.jpg,5419
ADE_train_00012219.jpg,16221
ADE_train_00001961.jpg,186580
ADE_train_00024430.jpg,165606
ADE_train_00001716.jpg,15275
ADE_train_00001676.jpg,2712
ADE_train_00001758.jpg,21087
ADE_train_00001561.jpg,58078
ADE_train_00022769.jpg,54937
ADE_train_00022744.jpg,95956
ADE_frame_00000203.jpg,146656
ADE_train_00012246.jpg,4823
ADE_train_00001522.jpg,54615
ADE_train_00002378.jpg,106641
ADE_train_00023725.jpg,32097
ADE_train_00005280.jpg,13467
ADE_train_00001763.jpg,9615
ADE_train_00012220.jpg,10300
ADE_train_00016340.jpg,709
ADE_train_00019507.jpg,3177
ADE_train_00003093.jpg,5510
ADE_train_00002042.jpg,114870
ADE_train_00012286.jpg,2099
ADE_train_00023671.jpg,15762
ADE_train_00020088.jpg,9563
ADE_train_00022041.jpg,55735
ADE_train_00001635.jpg,613147
ADE_train_00019095.jpg,141545
ADE_train_00008819.jpg,101574
ADE_train_00012185.jpg,11208
ADE_train_00022681.jpg,82024
ADE_train_00015457.jpg,42009
ADE_train_00022684.jpg,148762
ADE_train_00001222.jpg,9570
ADE_train_00008798.jpg,10417
ADE_train_00001746.jpg,27652
ADE_train_00025047.jpg,49738
ADE_train_00002031.jpg,594983
ADE_train_00001240.jpg,17455
ADE_train_00022698.jpg,114212
ADE_train_00009373.jpg,288391
ADE_train_00011721.jpg,34561
ADE_frame_00000210.jpg,19513
ADE_train_00001735.jpg,14029
ADE_train_00002056.jpg,167594
ADE_train_00019017.jpg,2217
ADE_train_00001726.jpg,16110
ADE_train_00022999.jpg,34419
ADE_train_00001720.jpg,1503
ADE_train_00001346.jpg,14797
ADE_train_00001787.jpg,99656
ADE_frame_00000267.jpg,221465
ADE_train_00006419.jpg,1259
ADE_train_00004842.jpg,1597
ADE_train_00019603.jpg,1428
ADE_train_00012252.jpg,11308
ADE_train_00002372.jpg,1582
ADE_train_00022695.jpg,69813
ADE_train_00002423.jpg,179591
ADE_frame_00000015.jpg,109815
ADE_train_00004251.jpg,70202
ADE_train_00002390.jpg,5659
ADE_train_00005541.jpg,3313
ADE_train_00022700.jpg,169444
ADE_train_00001713.jpg,305191
ADE_train_00001554.jpg,47757
ADE_train_00024549.jpg,70860
ADE_train_00009972.jpg,5845
ADE_train_00002396.jpg,3264
